id,nombre,tipoComida,autor,descripcion
1,Alfajores,,,
2,Amerikaner,,,
3,Anhaltskuchen,,,Mürbteig (unten) vorbacken.\nMarmelade dünn bestreichen.\nZutaten sind für den Teig oben
4,Apfelkuchen: Torte,,,Äpfel roh in scheiben schneiden\nMit Zucker mischen\nOben mit Mandelplättchen
5,Apfelkuchen: Rührteig,,,Apfel in Scheiben rauflegen
6,Apfelsinenmarmelade,,,Apfelsinenschalen durch licuadora. Dann gut kochen. \nNicht das doppelte Rezept machen.
7,Apfelsinenkuchen,,,"Eigelb und Zucker gut verquirlen\nMehl und Apfelsinensaft abwechselnd in die Creme rühren.\nEiweiß zu festen Schnee schlagen und unterheben\n160 C – 15 min\nAuf dem noch heißen Kuchen verteilt, glänzt der Guss, auf dem bereits abgekühlten glänzt er nicht."
8,Bananenkuchen,,Niko,Form mit Backpapier auslegen.\n175° ca. 1 Stunde backen.
9,Bananen-Teesemmel,,,"Bananen, Zucker und Ei in eine Schüssel geben und gut vermischen. Die zerlassene Butter oder Margarine unterrühren. Mit einem Kochlöffel die restlichen Zutaten unter die gemixte Masse geben und nur so lange rühren bis alles\n20 Min. bei 190° backen."
10,Bienenstich,,,
11,Biscuit,,,
12,Biscuitrolle,,,
13,Bombones,,Rita,
14,Brownies1,,Alicia,"Derretir manteca y chocolate\nIr agregando y batiendo huevos, azucar y vainilla\nCernir y agregar a lo anterior harina, royal y sal\nPor ultimo agregar nueces\nAsadera de 30x40 cm. Receta doble \n20 Min. bei 170°."
15,Brownies2 con aceite,,,
16,Brownies3,,Angie James,"Batirlo todo junto y si lo desea, añade 1/2 taza de nueces. Mézclalo con una cuchara grande, y ponlo todo a un molde engrasado de 22 x 33 cm. Hornee en fuego lento por unos\nEl truco: Mezclar los ingredientes en el orden de la receta."
17,Brownies4,,Vaiti,Das kleine Blech\n180° 30-35 min.
18,Butterbrezel,,,Möglichst schnell zusammenkneten. Brezeln formen. Nicht zu dunkel backen.
19,Budín de frutas “de 2“,,,
20,Cachapas- tortillas de choclo,,T. Elena,"Es una masa, no tan líquida con panqueques. Cuánto menos harina tenga, más suave queda.\nHacer luego tipo panqueque- con aceite - cocer de un lado y luego del otro.\nPoner Schmelzkäse (tipo alpa) en una mitad y luego se dobla a la mitad.\n1/2 a 1 cm. de grosor.\nServir con jugo de naranja recién exprimido."
21,Chocolate chip cookies,,Elke,
22,Ciabattabrot,,Jürgen,
23,Cookies crocantes de coc y girasol,,,"Preparación:\nPrecalentar el horno a 180°C\nTamizar la harina, polvo de hornear, canela y sal. Agregar la avena, coco, semillas y mezclar bien.\nBatir la manteca pomada junto con los azucares hasta que este mas blanca.\nIncorporar el huevo y la vainilla al batido.\nAgregar los secos mezclando con espatula cuchara de madera sin batir demasiado.\nColocar la masa de a cucharadas en dos aseras, separadas por algunos centimetros entre si.\nHornear por aprox 12 minutos, hasta que las cookies esten doraditas.\nPasarlas a una rejilla y dejar enfriar bien. Guardar en una lata hermetica.\nNotas:\nSi se prefiere hacer estas cookies con avena, sustituir el coco, semillas y avena instantanea por 125 gr de avena tradicional."
24,Copper carots,,Lilo,"Mezclar en frío\nVerter sobre las zanahorias, mezclar y guardar tapado en el refrigerador. Las zanahorias deben estar cubiertas por la salsa."
25,Crema de naranja,,,"Preparación:\nEn un bol, mezclar muy bien el huevo con la fécula de maíz y el azucar. Incorporar poco a poco la leche descremada fria y revolver bien, lograr que no quede ningun grumo.\nCocinar esta preparación a baño Maria revolviendo continuamente hasta que espese.\nBajar el fueg y dejar cocinar por 5 minutos mas sin revolver.\nA continuacion, retirar el bol del fuego, agregar la esencia de vainilla, la manteca y mezclar nuevamente.\nDejar enfriar y colocar papel film sobre la crema para que no se forma una capa en la superficie."
26,Crumble de manzana,,,"Poner todos los ingredientes del crumble en una multiprocesadora.\nCocinar por 45-60 minutos, hasta que la parte superior esté dorada y las manzanas estén chisporroteando y burbujeando."
27,Cupcakes,,Ximena,"(12 unidades)\nPreparación:\nPrecalentar el horno a temperatura media\nEn un bol colocar los huevos y el azucar; batir hasta que la mezcla esté pálida y espumosa.\nAgregar el extract de vainilla, leche y aceite.\nSeguir batiend hasta mezclar.\nAgregar, con movimientos envolventes, la harina y el polv de hornear hasta incorporar y reservar.\nEn 12 moldes para muffins, coloca cápsulas de papel.\nVerter la mexcla reservada y hornear 25-30 minutos aprox."
28,Doughnals,,,
29,Eggnog,,,"Preparación:\nMezclar la leche, nuez moscada, canela y vainilla. Cocinar a mediana/ baja temperatura hasta que llegue a un bajo punto de ebullicion, revolviendo ocasionalmente.\nEn un bowl grande, batir las yemas y el azucar (en caso de usar una batidora electrica, batir la mezcla en velocidad baja por uno o dos minutos).\nAgregar la mezcla de leche lentamente a la mezcla de huevo hasta que los ingredientes se hayan mezclad bien. Luego cocinar en temperatura media hasta que quede espeso, que toma de 3 a 5 minutos.\nDejar enfriar a temperatura ambiente.\nAgregar la crema y el rum brandy. Mezclarlo bien.\nCubrir bien con un plastico. Refrigerar por una noche para que los sabores se combinen, y servir con una pizca de nuez moscada."
30,Eiscrem,,Fr. Balzer,"Eier, Zucker und Pflanzenfett 5 min mit der licuadora quirlen\nMilch aufkochen und so heiss langsam durch das Loch im Deckel in die quirlende Masse giessen.\nVanillie beifügen.\nIn eine runde Plastikschüssel giessen und ohne Deckel in den Freezer stellen für 5 Stunden.\nMesserspitze gez unterrühren und mit dem Handmixer quirlen, bis es doppelt so gross ist. Zudecken und und in den Freezer. Kann auch gleich gegessen werden. "
31,Eiweisskuchen,,,Mit Schokoladenguss.
32,Empanadas,,Xime,"Mezclar harina, sal, azúcar, levadura y huevo.\nA parte calentar manteca y leche\nUnirla al primer y firmar la masa. Dejar leudar, amasar y cortar empanadas"
33,Empanadas árabes,,,"Preparación:\nPoner sobre mesada la harina en forma de corona, en el centro la levadura disuelta en un poco de agua tibia, incorporar el aceite y la sal por fuera. Empezar a formar la masa agregando\nEstirar la masa finamente con palote y cortar los discos.\nPara el relleno, sumergir los tomates en agua hirviend un minuto. Pasarlos rapidamente a agua fria para poder retirar la cascara. Retirar las semillas y cortarlos en cubitos pequeños.\nPara pelar el ají colocarlos sobre rejilla al fueg girandol hasta que esté quemada la cáscara. Retira y pelarlo con ayuda de agua. Picarl fino.\nCortar muy finamente las cebollas. Mezclar todos los ingredientes con la carne picada, el perejil picado, el jugo de limon, las especias, la mente y la sal.\nLlevar la preparación a la heladera dejándola macerar durante 8 horas. (Y la dej durante la noche para prepararlos al dia siguiente). Retiramos y veremos que la carne cambió de color. Escurrimos los jugos sobrantes-\nRellenamos los discos y cerramos la masa dándole forma triangular. Las colocamos en asadera aceitada y cocinamos en horno fuerte hasta que estén doraditas. Servir acompañadas con rodajas de limón. Resultan super deliciosas!!"
34,Ensalada de apio,,,
35,Fainá,,Dau,Licuar todo\nPoner en chapa aceitada. 25 min a 180 °.
36,Fleischrouladen,,Mutti,
37,Frühlingssalat,,,
38,"ucker, Essig, Öl, Salz und Pfeffer aufkochen",,,
39,Garrapiñada,,,15 min kochen\nRühren bis der Zucker anklebt
40,Galletitas de avena 1,,,
41,Galletitas de avena 2,,Silvi,"Preparación:\nBatir los huevos apenas con un tenedor.\nAgregar lentamente el aceite, la vainilla, y la cáscara de limón rallada, y continuar batiendo.\nAñadir gradualmente el edulcorante.\nAgregar la harina, la avena instantánea, las pasas de uva, el polvo de hornear y la sal.\nVerter sobre chapa pincelada con aceite por cucharaditas.\nHornear a 200°C por 10 minutos. Sacar de la chapa inmediatamente."
42,Granola simple,,,"Mezclar los ingredientes secos y líquidos. Extender en grumos sobre chapa de horno y tostar aprox. 1/2 hora hasta que los grumos tengan un color tostado, revolviendo de vez en cuando. "
43,Haferflockenmakronen 1,,,
44,"utter, Zucker und Eier schaumig schlagen und Mandelöl dazugeben",,,Der Teig muss ziemlich fest sein. Sonst verlaufen sie zu sehr
45,Haferflockenmakronen 2        ,,Carola R. ,"Haferflocken, Butter und Zucker bräunen"
46,Hamburger Quicken,,,"Hackfleisch, Zwiebel und Knoblauch anbraten\nAlles mischen und auf einen Pai Teig\n45 min bei 180-190 backen."
47,Hamburguesas,,Lilo.,47 unidades
48,Hamburguesas a lo de Romi,,Romi,72 hamburguesas\n(01.09.06 Sonntagschulfreizeit 2 kg picada- etwas dünner- 60 Stück)
49,Helado de chocolate,,,"Vierta la leche y el azúcar en una cacerola. Cueza a fuego lento, mezcle hasta que el azúcar se haya disuelto completamente y déjelo enfriar. Añada la nata y vierta el compuesto en el contenedor"
50,Helado de dulce de leche,,Rita,"Hervir la leche con la vainilla.\nBatir las yemas con dulce y gelatina.\nAgregar la leche revolviend continuamente, llevar al fuego, hacer la crema sin dejar hervir.\nBatir la crema de leche hasta espesar e incorporar a la preparación anterior.\nMezclar y poner a helar."
51,Helado de durazno,,,"Pelar y licuar los duraznos.\nAgregar las claras batidas a nieve con las 2 cucharas de azúcar. Mezclar suavemente.\nIncorporar lueg la crema doble previamente batida con el azúcar impalpable.\nMezclar con movimientl suave y envolvente y llevar a congelar en cubetas cubiertas de papel aluminio o nylon.\nUna vez prontl servir en copas, sobre ensalada de frutas, duraznos cortados en cubitos."
52,Helado de frutilla,,,"Haga un puré con las frutillas.\nAñada el azúcar, la nata entera y el jugo de limón.\nDeje que la mezcla se enfríe y haga el helado en la máquina."
53,Helado de limón,,,"Vierta el agua y el azúcar en una cacerola. Cueza a fuego lento, y mezcle hasta que el azúcar se haya disuelto. Haga que el compuesto entre en ebullición y déjelo hervir durante 1 minuto.\nAñada el jugo de naranja y el jugo de limón. Bata la clara hasta obtener una espuma consistente y viértala en el compuesto mezclando. Vierta el compuesto en el contenedor con el mezclador en funcionamiento."
54,Helado de vainilla,,,"Bata las yemas, el azúcar y la vainilla dentro de un cuenco.\nPonga a hervir lentamente la leche en un cazo.\nAñada las yemas revolviendo al mismo tiempo.\nVierta la mezcla de nuevo en la olla, revuelva y deje que se aliente hasta que se condense. La mezcla no debe hervir, de lo contrario se arruinará.\nEn cuanto vea que la mezcla de agruma en el reverso de la cuchara, sáquela del fuego y deje que se enfríe. Añada la nata entera.\nDeje que la mezcla se enfríe y haga el helado en la máquina."
55,Hojaldre,,Rita,"Agregar harina hasta que la masa quede suave\nBatir el huevo con sal, agregarle el agua y aceite. Incorporar la harina hasta formar una masa tierna, darle unos cuantos golpes y dejar descansar 1 hora en bolsa de nylon.\nEstirar bien fina, pincelar con manteca derretida si es para horno, si es para freír pincelar con aceite, espolvorear con Royal y Maicena, doblar como para tallarines y luego las puntas hacia el centro, dejar"
56,Hörnchen (Bienenstich),,,"Teig schlagen, gehen lassen.\nAusrollen, etwas Butter reinrollen. 1/2 cm. dick ausrollen. Dreiecke schneiden, ein Stückchen dulce de membrill rein und dann Hörnchen formen. Gehen lassen. \nNach dem backen mit Zitronen-Puderzuckerguss bestreichen, wenn sie noch heiss sind. \nFür Pfannkuchen weniger Fett und weniger Eier."
57,Kaffeekonfekt,,,"Alle Zutaten leicht kneten, kleine Kugeln formen und im groben Zucker wälzen."
58,Kalte pracht,,,
59,Käseplätzchen,,,
60,Käsesuppe,,,"Für 4 Leute\nHackfleisch, Zwiebel und Lauch (später) aufbraten\nWasser und Knorrwürfel dazugeben und 1/2 Std. Kochen lassen\nGambu zum Schluss"
61,Kekse,,Rafa,
62,Knetgummi,,,Aufkochen
63,Kokosberge,,,
64,Kokoskuchen,,Oma Ruth,15-20 min backen. 200°\nMit oberen schicht noch 7 min backen.\nEtwas kokusflocken rüberstreuen.
65,Komissbrot,,,"Eier, Zucker, Kakao und Butter schlagen\nTeig kneten. Brötchen formen und auf ein Blech legen. Bei Mittelhitze 1/2 St. backen"
66,Krachmandeln,,Helga Schröder,"Zucker, Kakao und Milch aufkochen, dann Manis dazugeben. Abnehmen wenn es noch feucht ist, dann weiterrühren bis sie trocken sind."
67,Krokant,,,Mit Butter und Zucker hellbraunen Syrup machen\nAuf ein eingefettetes Blech verteilen. Nach dem erkalten mit dem Rollholz zerstossen.
68,Lasagna,,Tante Elsa Schmidt,Alles zusammenrühren
